customer_id,first_name,last_name,email,phone_number,address
1,Nathan,Villa,jpena@example.org,236-990-4199,"Unit 5379 Box 7539, DPO AP 40432"
2,Amber,Brown,amanda98@example.org,001-845-800-6002x479,"630 Briggs Village Suite 229, Lake Nathan, NY 90195"
3,Jill,Willis,gavintaylor@example.com,522-950-9392x58369,"Unit 6250 Box 3399, DPO AP 00760"
4,Shannon,Hernandez,fosterlaura@example.com,803-243-9079,"77449 Whitney Ports Apt. 592, East Ryanbury, IN 54359"
5,Christopher,Hall,fowlerjeffrey@example.com,884.438.5659x6832,"6926 Edgar Burgs Suite 505, Trujillochester, DC 79738"
6,Annette,Martinez,efuentes@example.net,+1-639-740-7102x451,"9523 Amber Trace Apt. 034, Port Thomas, VT 40879"
7,William,Chapman,fesparza@example.org,001-455-394-4412,"9961 Tina Forks Apt. 975, Stewartshire, OH 10029"
8,Katherine,Rollins,fcole@example.org,641-632-5354x033,"5691 Lisa Union, Smithbury, TN 09080"
9,Scott,Molina,farrelllaura@example.org,834.987.4911,"192 Bradley Village Apt. 138, Port Zacharyport, WV 69897"
10,Angela,Wilson,ryandan@example.com,888.277.3299,"75598 Brown Land, North Susan, IN 05370"
11,Kelli,Paul,stephaniewalker@example.net,457.486.4914,"732 Timothy Lane, Romeromouth, AR 36252"
12,Jill,Graham,christopher55@example.net,459-830-0254x403,"PSC 2183, Box 4535, APO AP 89004"
13,Daniel,Shields,nortonkaren@example.com,+1-277-499-9739x529,"180 Tracey Streets, East Sydney, SD 98166"
14,Christopher,Henderson,hodgeswilliam@example.net,508-411-9431,"057 Ellen Falls Suite 373, New Melissa, MP 60268"
15,Mary,Shaw,donald17@example.net,466.586.7000x1515,"7983 Howard Drive Apt. 139, Pattersonchester, ME 06540"
16,Donald,Hughes,qwright@example.net,522.686.4403x3157,"5306 Coffey Island, Dennisstad, AS 06101"
17,Donald,Ortiz,youngamy@example.net,001-843-673-1756x779,"69714 Jeffrey Ridges, East Kiaraburgh, OK 94432"
18,Andrew,Hale,michael19@example.net,+1-415-835-5103x16238,"Unit 8931 Box 9954, DPO AP 19190"
19,Amy,Jones,trevorbenson@example.net,241.257.4276,"0087 Robert Unions Suite 306, Campbellport, KY 09926"
20,Joseph,Nolan,petersonkelly@example.net,8126817663,"4194 Anderson Wall, Miguelborough, KS 27772"
